,FRA_ARCID,FROM_FRA_N,TO_FRA_NOD,STATE_FIPS,STATE_FI_1,CNTY_FIPS,STATE_CNTY,STATE_ABRV,FRA_DIST_C,FRA_DIST,RR_OWNR_1,RR_OWNR_2,RR_OWNR_3,TRACK_RIGH,TRACK_RI_1,TRACK_RI_2,TRACK_RI_3,TRACK_RI_4,TRACK_RI_5,TRACK_RI_6,TRACK_RI_7,TRACK_RI_8,DIV,SUBDIV,BRNCH,YARDNAME,PASSGR_CD,PASSGR,STRTGC_NTW,STRTGC_N_1,TRACKS,NET_CD,RR_TYPE,MILES,KM,RR_STATUS,RR_COMPANY,RR_NBR,RR_ABRVN,RR_CLASSIF,geometry
6298,441206,369307,369336,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,PALESTINE,#N\A,,,,,,2,M,Main sub network,0.95953144,1.54421926,Active,Union Pacific,66,UP,F,"LINESTRING (-95.36483488299994 29.87069585500008, -95.36482674599995 29.87066331500007, -95.36211499999996 29.859820999000057, -95.36196268299994 29.859206774000015, -95.36143621599994 29.857083767000066)"
6299,441207,368995,369031,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,PALESTINE,#N\A,LLOYD,,,,,2,M,Main sub network,1.57472293,2.53427597,Active,Union Pacific,66,UP,F,"LINESTRING (-95.40768345999997 30.04215413100007, -95.40588762199995 30.034962990000047, -95.40501794599999 30.031480513000076, -95.40499696599994 30.031396500000035, -95.40494507999993 30.031188731000043, -95.40389144799997 30.026969638000022, -95.40383621199997 30.026748449000017, -95.40377862299992 30.026517846000043, -95.40375276799993 30.02641431600005, -95.40355355299994 30.025616593000052, -95.40287189699994 30.022887008000055, -95.40215139199995 30.020001862000075, -95.40210444699993 30.019813872000046)"
6300,441208,369090,369132,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,PALESTINE,#N\A,,,,,,2,M,Main sub network,1.02508305,1.64971455,Active,Union Pacific,66,UP,F,"LINESTRING (-95.39141095499997 29.977053202000018, -95.39119623099998 29.976196415000068, -95.39068710499998 29.974164908000038, -95.39061281799997 29.973868490000022, -95.38941103599994 29.96907315100004, -95.38863883699996 29.965991929000037, -95.38861112599994 29.96588135400002, -95.38776700999995 29.962513173000026)"
6301,441209,368510,368523,48,TX,201,48201,TX,5,District: 5,BNSF,,,,,,,,,,,,RED RIVER,HOUSTON (BNSF),BELT JCT-TEAGUE,,,,,,1,M,Main sub network,0.35868519,0.57724902,Active,BNSF Railway,15,BNSF,F,"LINESTRING (-95.52667582899993 29.945346697000044, -95.52655845099997 29.94513954500007, -95.52639460799996 29.94485039000005, -95.52620317099995 29.944512537000023, -95.52592066399995 29.94401395800002, -95.52574899999996 29.943711000000064, -95.52403407099996 29.940675106000082)"
6302,441210,368380,368510,48,TX,201,48201,TX,5,District: 5,BNSF,,,,,,,,,,,,RED RIVER,HOUSTON (BNSF),BELT JCT-TEAGUE,,,,,,1,M,Main sub network,4.22751872,6.80354549,Active,BNSF Railway,15,BNSF,F,"LINESTRING (-95.55790769199994 30.000369124000024, -95.55779155099997 30.000163858000075, -95.55693499999994 29.998650000000033, -95.55520050699994 29.99564128100006, -95.55509599999999 29.995460000000037, -95.55349947399996 29.992617143000075, -95.552562283 29.99094833300005, -95.55221142799995 29.99032358300006, -95.55215674499999 29.990226212000046, -95.55211899999995 29.990159000000062, -95.55160477699997 29.989266125000018, -95.54949799999996 29.98560800000005, -95.54652743799994 29.980342730000054, -95.54622329799996 29.97980364800001, -95.54602472899994 29.97945168800003, -95.54540599899995 29.97835500000008, -95.54512924699998 29.97786764300003, -95.54448730899996 29.97673720700004, -95.54249000099996 29.97322000000003, -95.54106899999994 29.97074600100006, -95.53878045899995 29.96670981200002, -95.53871605699997 29.966596228000068, -95.53841152399997 29.966059136000062, -95.53804061699998 29.96540498700006, -95.53755299999995 29.96454500000004, -95.53265199999998 29.95586700000005, -95.53075861799994 29.95254217500008, -95.52966400099994 29.950620000000054, -95.52961731199996 29.950537149000063, -95.52875899999997 29.949014000000016, -95.52796889799998 29.947623070000073, -95.52667599899996 29.945347000000023, -95.52667582899993 29.945346697000044)"
6303,441211,367577,367878,48,TX,157,48157,TX,5,District: 5,BNSF,,,UP,,,,,,,,,RED RIVER,GALVESTON (BNSF),TEMPLE-GALVESTN,,,,,,1,M,Main sub network,3.29874862,5.30883192,Active,BNSF Railway,15,BNSF,F,"LINESTRING (-95.70368252199994 29.537444935000053, -95.70290088599997 29.537343559000078, -95.70265970399998 29.53731227900005, -95.70239764599995 29.53727829000007, -95.70190107899997 29.537213887000068, -95.69658207199996 29.53652402700005, -95.69569969599996 29.536409585000058, -95.69468762399998 29.53627832200004, -95.68015819899996 29.53439389700001, -95.66554754399999 29.532498936000017, -95.66452783599999 29.532366683000053, -95.66263298999996 29.532120927000033, -95.66188085899994 29.532023378000073, -95.65766570299996 29.531476683000047, -95.65631972599994 29.53130211500007, -95.65628800099994 29.531298000000046, -95.65523500099994 29.53114900000002, -95.65502755999995 29.531111520000017, -95.65488090099996 29.53108502100003, -95.65471187799993 29.531054481000066, -95.65435499999995 29.53099000100007, -95.65371588999993 29.530844061000042, -95.65346600099996 29.530787000000036, -95.65346119699994 29.530785672000025, -95.65255499999995 29.53053500000003, -95.65253109699995 29.530526802000033, -95.65189368199997 29.53030819100008, -95.65186419799993 29.530298077000047, -95.65173243899994 29.530252889000046, -95.65158307999997 29.530201664000064, -95.65157408999994 29.530198580000025, -95.65156721399995 29.530196222000026, -95.65123999999997 29.53008400000005, -95.65064547999997 29.529829382000056, -95.65037311199995 29.529712733000046, -95.65013266599999 29.529609757000056, -95.64980080399992 29.52946762900005)"
6305,441212,369471,369497,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,KCS,,,,,,,,HOUSTON,HOUSTON WEST BELT,#N\A,,,,S,STRACNET designated line,2,M,Main sub network,0.33980079,0.54685745,Active,Union Pacific,66,UP,F,"LINESTRING (-95.34656731199999 29.74929001500002, -95.34636899999997 29.748696000000056, -95.34631474699994 29.748492785000053, -95.34625499999999 29.74826900000005, -95.34612399999997 29.747540000000075, -95.34607150799995 29.747389969000043, -95.34598299999999 29.747137000000055, -95.34594071799995 29.747064640000062, -95.34573699999997 29.74671600000003, -95.34569223799998 29.746666215000044, -95.34543813799996 29.74638360200004, -95.34543399999994 29.74637900000004, -95.34508722099996 29.746109391000054, -95.34507899999993 29.746103001000034, -95.34498984399994 29.74604843600002, -95.34474846199997 29.745900707000025, -95.34421299999995 29.745573001000025, -95.34397189999997 29.74540138100008, -95.34386599899995 29.745326001000024, -95.34379871299996 29.745261340000077)"
6306,441213,369785,369914,48,TX,201,48201,TX,5,District: 5,UP,,,AMTK,BNSF,KCS,,,,,,,HOUSTON,TERMINAL,#N\A,ENGLEWOOD,A,Amtrak,S,STRACNET designated line,2,M,Main sub network,0.77419778,1.24595305,Active,Union Pacific,66,UP,M,"LINESTRING (-95.30688819399995 29.791493431000042, -95.29531527599995 29.796437897000043)"
6307,441214,369914,370156,48,TX,201,48201,TX,5,District: 5,UP,,,AMTK,BNSF,KCS,,,,,,,HOUSTON,TERMINAL,#N\A,ENGLEWOOD,A,Amtrak,S,STRACNET designated line,2,M,Main sub network,0.38282733,0.6161021,Active,Union Pacific,66,UP,M,"LINESTRING (-95.29531527599995 29.796437897000043, -95.29051149899999 29.79849028500006, -95.29006632799995 29.798711091000015, -95.29002600099993 29.79873109300007, -95.28991663399995 29.798785338000055, -95.28961682199999 29.798923350000052)"
6309,441216,369491,369486,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,KCS,,,,,,,,HOUSTON,HOUSTON WEST BELT,#N\A,,,,S,STRACNET designated line,2,M,Main sub network,0.30160904,0.48539367,Active,Union Pacific,66,UP,F,"LINESTRING (-95.34468168199997 29.76932519400003, -95.34468086299995 29.769290692000034, -95.34467634699996 29.769100563000045, -95.34466599899997 29.768665001000024, -95.34466594099996 29.768660302000054, -95.34466050499996 29.76822735200004, -95.34465941799999 29.768140761000037, -95.34465577699994 29.767850806000084, -95.34465464799996 29.767760821000017, -95.34465251599993 29.767590973000047, -95.34465037999995 29.767421000000056, -95.344647244 29.767171165000022, -95.34464586399997 29.76706118200008, -95.34463585599998 29.76626407500004, -95.34464299499996 29.766035644000045, -95.34464538599995 29.766019159000052, -95.34465757199995 29.765935143000036, -95.34465796199999 29.765932455000026, -95.34466891199997 29.765856979000024, -95.34467499999994 29.765815000000035, -95.34473199899996 29.765482000000066, -95.34481610299997 29.765187465000054, -95.34482125499994 29.76516942300004, -95.34484590799997 29.765083090000058, -95.34487881699995 29.764967841000047)"
6311,441222,369730,369728,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,STRANG,#N\A,,,,,,2,M,Main sub network,1.34850578,2.17021403,Active,Union Pacific,66,UP,F,"LINESTRING (-95.31247423299997 29.78634176000002, -95.31250547999996 29.78549269600006, -95.31252643799995 29.78374405000005, -95.31252104999999 29.781970987000076, -95.31252104999999 29.780170987000062, -95.31252643799995 29.778570987000027, -95.31252643799995 29.776670987000053, -95.31258569999993 29.773165600000013, -95.31253721299997 29.77126660000005, -95.31253721299997 29.76946660000005, -95.31254710699994 29.767443865000086, -95.31255004699993 29.766765011000064)"
6312,441223,371231,371322,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,STRANG,#N\A,,,,,,1,M,Main sub network,1.14809334,1.84768083,Active,Union Pacific,66,UP,F,"LINESTRING (-95.14024934399997 29.713645758000027, -95.14024300799998 29.713269276000073, -95.14024099899994 29.713150000000027, -95.14021199999995 29.712768000000025, -95.14019137499996 29.712669268000067, -95.14015099999993 29.712476000000024, -95.14003900099999 29.712163000000032, -95.14001587799997 29.712116959000053, -95.13992500099992 29.711935999000033, -95.13986483299999 29.711838505000074, -95.13978800099994 29.71171400100008, -95.13964855099992 29.71154241500004, -95.13954499899995 29.711415000000045, -95.13945814499998 29.71133604000005, -95.13918199999993 29.711085000000004, -95.13913734899994 29.711058070000032, -95.13879399999996 29.71085100000004, -95.13874409999994 29.710827913000056, -95.13845899999995 29.710696001000024, -95.13835604899998 29.710661794000035, -95.13815199999998 29.710594000000075, -95.13795642899998 29.710551861000038, -95.13791917399998 29.710543835000053, -95.13786476099995 29.710532109000034, -95.13778999999992 29.710515999000062, -95.13764095099998 29.710500137000047, -95.13749945999994 29.71048507500007, -95.13745176699994 29.710480001000068, -95.13738599999994 29.710473000000043, -95.13725500199996 29.710473365000045, -95.13721759699996 29.71047346800001, -95.13702599999998 29.710474001000076, -95.13697985799995 29.71047856100005, -95.13563896699996 29.71061111300002, -95.13126999999996 29.711043000000075, -95.13095863099994 29.711064767000043, -95.13079726799998 29.711076047000063, -95.13032799999996 29.71107700000005, -95.13008925299992 29.711070657000036, -95.12746130599999 29.711000833000064, -95.12617506799994 29.71096665800007, -95.12467758199995 29.710926870000034, -95.12413807199992 29.710912535000038, -95.12353771999994 29.710896584000064, -95.12353097899997 29.710896405000025)"
6313,441224,370271,370258,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,PTRA,,,,,,,,#N\A,STRANG,SOUTH SIDE,,,,,,1,M,Main sub network,0.46061786,0.74129406,Active,Union Pacific,66,UP,F,"MULTILINESTRING ((-95.27958815299995 29.729808199000015, -95.27992000099995 29.72891000100002, -95.27999999999996 29.728750001000027, -95.28031694199996 29.727920173000015, -95.28039267900587 29.727721877254044), (-95.28059032986931 29.72719978402443, -95.28065220099995 29.727052597000068, -95.28091000399996 29.726439297000066, -95.28117884799997 29.725653449000045, -95.28119015199997 29.725620403000047, -95.28139487499998 29.724844609000062, -95.28140997299994 29.723958533000037, -95.28141400099997 29.72372215900002, -95.28141999999995 29.723370000000045))"
6316,441227,370210,370217,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,KCS,,,,,,,,,GLIDDEN,,,,,,,1,M,Main sub network,0.02831193,0.04556373,Active,Union Pacific,66,UP,F,"LINESTRING (-95.28634512899997 29.718986436000016, -95.28624142899997 29.719044714000063, -95.28607630599998 29.71913751200004, -95.28594918599998 29.71920895200004)"
6317,441229,369793,369904,48,TX,201,48201,TX,5,District: 5,BNSF,,,UP,,,,,,,,,RED RIVER,MYKAWA,ALVIN-NEW SO YD,,,,S,STRACNET designated line,1,M,Main sub network,2.06665563,3.32596648,Active,BNSF Railway,15,BNSF,F,"LINESTRING (-95.30582837199995 29.625567967000055, -95.30580115799995 29.625477038000046, -95.30575173999993 29.62531193100005, -95.30574171099994 29.625278417000068, -95.30572991299995 29.62523900500003, -95.30485170899999 29.622304769000035, -95.30451662699993 29.62118520000007, -95.30441496299994 29.62084552100004, -95.29835537699994 29.600599412000044, -95.29833093499998 29.600517749000055, -95.29829825299998 29.600408552000022, -95.29827380999994 29.600326888000023, -95.29725099099994 29.596909470000057, -95.29714426899993 29.596552895000038, -95.29714011399994 29.596539014000026)"
6554,442310,370173,370187,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,HOUSTON EAST BELT,#N\A,,,,,,2,M,Main sub network,1.1489365,1.84903776,Active,Union Pacific,66,UP,F,"LINESTRING (-95.28856033999993 29.796819905000063, -95.28855413799994 29.796463050000057, -95.28848895699997 29.79271295500007, -95.28844136799994 29.79009078800003, -95.28841184199995 29.788283135000025, -95.28839853799997 29.787468624000045, -95.28834618999997 29.78484170000008, -95.28829859999995 29.782210014000047, -95.28826600499997 29.78023800700003, -95.28826440499995 29.780141201000042)"
6588,442334,368845,368846,48,TX,201,48201,TX,5,District: 5,UP,,,AMTK,KCS,,,,,,,,HOUSTON,TERMINAL,#N\A,,A,Amtrak,S,STRACNET designated line,2,M,Main sub network,0.12731247,0.20488996,Active,Union Pacific,66,UP,M,"LINESTRING (-95.44787901299998 29.728092922000027, -95.44786194899996 29.72723896300004, -95.44786169899997 29.72722643900004, -95.44786164599996 29.727223763000026, -95.44786154899997 29.727218970000028, -95.44786076699995 29.72717988600004, -95.44785695499996 29.726989063000076, -95.44784434899998 29.72635819600004, -95.44784208399994 29.726244813000047)"
6589,442336,369922,369994,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,STRANG,#N\A,,,,,,1,M,Main sub network,0.39853114,0.64137499,Active,Union Pacific,66,UP,F,"LINESTRING (-95.29486413899996 29.75723034000004, -95.29469368799994 29.757107689000065, -95.29400347499995 29.756611033000063, -95.29375359699998 29.756344790000067, -95.29372066699995 29.75630474000006, -95.29362183399995 29.75618453700003, -95.29357537699995 29.756128034000028, -95.29344378299997 29.75596442800003, -95.29336849899993 29.755819908000024, -95.29322766399997 29.755597540000032, -95.29311365199999 29.755340061000034, -95.29303988299993 29.755082582000057, -95.29298765099999 29.754769362000037, -95.29297888199994 29.754665902000045, -95.29296385599996 29.754488584000054, -95.29296861399995 29.754262537000045, -95.29318752499995 29.752047258000058)"
6590,442338,370236,370271,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,PTRA,,,,,,,,#N\A,STRANG,SOUTH SIDE,,,,,,1,M,Main sub network,0.75537358,1.21565837,Active,Union Pacific,66,UP,F,"LINESTRING (-95.28395377499999 29.73978755300003, -95.27982443399996 29.732853954000053, -95.27966396999993 29.73250478300001, -95.27941674199997 29.731935670000038, -95.27929556199996 29.73142987900007, -95.27928972299996 29.730989260000065, -95.27935916499996 29.730629798000052, -95.27938131099995 29.730515164000032, -95.27958815299995 29.729808199000015)"
6622,442444,370170,370171,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,,HOUSTON EAST BELT,,,,,,,2,M,Main sub network,0.06631215,0.10671927,Active,Union Pacific,66,UP,F,"LINESTRING (-95.28862394099997 29.802807892000043, -95.28861678699997 29.80243049100005, -95.28860569299998 29.801845279000066)"
6637,443378,369288,369307,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,PALESTINE,#N\A,,,,,,2,M,Main sub network,0.48210817,0.77587945,Active,Union Pacific,66,UP,F,"LINESTRING (-95.36654531199997 29.87753462200004, -95.36596191099993 29.875202022000064, -95.36485911199998 29.87079272300008, -95.36483488299994 29.87069585500008)"
6638,443379,369234,369288,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,PALESTINE,#N\A,,,,,,2,M,Main sub network,2.26907949,3.65173676,Active,Union Pacific,66,UP,F,"LINESTRING (-95.37457449999992 29.90972585300005, -95.37434579399996 29.90873176500002, -95.37432099899996 29.908624000000028, -95.37271111099994 29.902187217000048, -95.36969812899996 29.89014046500006, -95.36661712699997 29.877821761000057, -95.36654531199997 29.87753462200004)"
6639,443380,369189,369234,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,PALESTINE,#N\A,,,,,,2,M,Main sub network,1.62062496,2.60814827,Active,Union Pacific,66,UP,F,"LINESTRING (-95.38030932799995 29.932717567000054, -95.38000807099996 29.931496436000025, -95.37976096599999 29.93049480500002, -95.37957499999999 29.929741000000014, -95.37886810699996 29.92692855300003, -95.37717059499994 29.92017482200003, -95.37615962199997 29.916152555000053, -95.37490099999997 29.911145001000083, -95.37457449999992 29.90972585300005)"
6640,443381,369043,369057,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,PALESTINE,#N\A,,,,,,2,M,Main sub network,0.58941599,0.94857499,Active,Union Pacific,66,UP,F,"LINESTRING (-95.40046398399994 30.013244908000036, -95.40041030799993 30.013029972000023, -95.40015524999995 30.01200863200006, -95.39874401999997 30.00635759400006, -95.39837578299993 30.00488304500003)"
6646,443432,369263,369277,48,TX,201,48201,TX,5,District: 5,UP,,,AMTK,BNSF,KCS,,,,,,,HOUSTON,TERMINAL-PASSENGER,#N\A,,A,Amtrak,S,STRACNET designated line,1,M,Main sub network,0.08319242,0.13388548,Active,Union Pacific,66,UP,M,"LINESTRING (-95.36908652599999 29.76805416100007, -95.36906745299996 29.768046166000047, -95.36891152799996 29.76798080900004, -95.36871901399996 29.767911702000042, -95.36852156399998 29.767857403000043, -95.36776928099992 29.76769469300006)"
6647,443433,369277,369333,48,TX,201,48201,TX,5,District: 5,UP,,,AMTK,BNSF,KCS,,,,,,,HOUSTON,TERMINAL-PASSENGER,#N\A,,A,Amtrak,S,STRACNET designated line,1,M,Main sub network,0.3826021,0.61573963,Active,Union Pacific,66,UP,M,"LINESTRING (-95.36776928099992 29.76769469300006, -95.36774336999997 29.767689089000033, -95.36751427099995 29.767639540000058, -95.36746091899992 29.767628000000048, -95.36744676799997 29.767624940000047, -95.36702074399994 29.767532796000072, -95.36675754499997 29.767475870000045, -95.36662565699997 29.76744808400002, -95.36645481299996 29.767412094000054, -95.36616099799994 29.767350197000045, -95.36607280599998 29.76733161800008, -95.36586414699997 29.76728766000007, -95.36338604799992 29.76674353700002, -95.36282992499996 29.766621428000054, -95.36274599999996 29.76660300000003, -95.36240199999996 29.76648500100003, -95.36231158799994 29.76644645300008, -95.36227406899995 29.766430458000045, -95.36218271999996 29.766391511000048, -95.36217987299993 29.766390297000036, -95.36217314999998 29.76638743100005, -95.36216416999997 29.76638360300007, -95.36216076499993 29.766382150000023, -95.36210135499992 29.766356821000038, -95.36204114799995 29.76633115200007, -95.36177021599995 29.766215644000056, -95.36166493399998 29.76617075800004)"
6648,443434,369339,369369,48,TX,201,48201,TX,5,District: 5,UP,,,AMTK,BNSF,KCS,,,,,,,HOUSTON,TERMINAL-PASSENGER,#N\A,,A,Amtrak,S,STRACNET designated line,1,M,Main sub network,0.218146,0.35107267,Active,Union Pacific,66,UP,M,"LINESTRING (-95.36115986699996 29.765985962000055, -95.36085199999995 29.765898000000057, -95.36081454899994 29.765889636000065, -95.36072244199994 29.765869065000054, -95.36061341299994 29.765844717000068, -95.36053508199996 29.765827223000013, -95.36041203399996 29.765799743000052, -95.36027883499997 29.76576999600008, -95.35902014699997 29.765488896000065, -95.35890476599995 29.765463129000057, -95.35882326699998 29.76544492800007, -95.35861993699997 29.765399518000038, -95.35861047899994 29.76539740700001, -95.35828126599995 29.76532388400004, -95.35807273399998 29.765277312000016, -95.35793699999994 29.76524700000005, -95.35764499999999 29.765199000000063)"
6649,443435,369333,369339,48,TX,201,48201,TX,5,District: 5,UP,,,AMTK,BNSF,KCS,,,,,,,HOUSTON,TERMINAL-PASSENGER,#N\A,,A,Amtrak,S,STRACNET designated line,1,M,Main sub network,0.03298859,0.05309009,Active,Union Pacific,66,UP,M,"LINESTRING (-95.36166493399998 29.76617075800004, -95.36157960599996 29.766134379000054, -95.36142052699994 29.76606655700004, -95.36137700099994 29.766048000000065, -95.36120390099995 29.765998542000023, -95.36115986699996 29.765985962000055)"
6650,443436,369369,369374,48,TX,201,48201,TX,5,District: 5,UP,,,AMTK,BNSF,KCS,,,,,,,HOUSTON,TERMINAL-PASSENGER,#N\A,,A,Amtrak,S,STRACNET designated line,1,M,Main sub network,0.07927222,0.12757652,Active,Union Pacific,66,UP,M,"LINESTRING (-95.35764499999999 29.765199000000063, -95.35745922699992 29.765191914000066, -95.35736841599997 29.765188448000057, -95.35727799999997 29.765185000000038, -95.35723131599997 29.765190179000065, -95.35720116899995 29.765193523000036, -95.35719086499994 29.765194666000063, -95.35714292799997 29.765199984000045, -95.35694356099998 29.765222098000027, -95.35666499999996 29.76525300100006, -95.35659734599994 29.765268201000016, -95.35641861899995 29.765308359000073, -95.35634170299994 29.76532564300003)"
6651,443437,369361,369393,48,TX,201,48201,TX,5,District: 5,UP,,,,,,,,,,,,HOUSTON,TERMINAL,#N\A,HARDY STREET,,,,,1,M,Main sub network,0.35533906,0.57186392,Active,Union Pacific,66,UP,F,"LINESTRING (-95.35917503399997 29.771324357000022, -95.35902764499995 29.771265828000036, -95.35880899999995 29.771179001000068, -95.35875513399998 29.77116647900003, -95.35842030099997 29.771088643000038, -95.35835299999997 29.771073000000044, -95.35814376499997 29.77106236100008, -95.35788099999995 29.771049000000083, -95.35785641399995 29.771049964000035, -95.35757585899995 29.771060961000035, -95.35731214399998 29.771071301000045, -95.35625121999999 29.77111289000003, -95.35609167799997 29.771119145000068, -95.35604682699993 29.771120904000043, -95.35562741699994 29.771137343000067, -95.35526594499999 29.771151514000056, -95.35507499999994 29.771159001000044, -95.35490167899997 29.771187232000038, -95.35458999999997 29.77123800000004, -95.35448840999999 29.771269687000014, -95.35416999999995 29.771369001000043, -95.35408354599997 29.771405666000074, -95.35383258899998 29.771512101000038, -95.35378214999997 29.77153349500003, -95.35376116099995 29.77154239500004, -95.35343410099993 29.771681109000045)"
6652,443438,369424,369449,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,KCS,,,,,,,,HOUSTON,TERMINAL,#N\A,,,,,,1,M,Main sub network,0.16741817,0.26943396,Active,Union Pacific,66,UP,F,"LINESTRING (-95.35073699899998 29.772825000000058, -95.35040456899998 29.77298567400003, -95.35007694699999 29.77314402200004, -95.34985364699996 29.77325194900003, -95.34980856999992 29.773275332000022, -95.34954497399997 29.773412066000045, -95.34954219899998 29.773413506000065, -95.34954082199994 29.773414219000077, -95.34944100099993 29.773466000000035, -95.34942912899997 29.77347492200005, -95.34938311199993 29.773509509000064, -95.34932111999994 29.77355610200003, -95.34930164799994 29.77357074000002, -95.34928257599994 29.773585073000035, -95.34921418199997 29.77365015300005, -95.34916599899996 29.77369599900003, -95.34906842499998 29.77382301900007, -95.34906678999994 29.773825625000022, -95.34899999999998 29.773932000000062, -95.34893200299994 29.77410099200004, -95.34891632299997 29.77417090800003, -95.34890642599999 29.774215044000073, -95.34889780299993 29.774253502000064, -95.34889499999997 29.774266001000058, -95.34888393399994 29.774439224000048)"
6663,443465,369455,369465,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,KCS,,,,,,,,,HOUSTON WEST BELT,,,,,,,2,M,Main sub network,0.20571055,0.3310597,Active,Union Pacific,66,UP,F,"LINESTRING (-95.34866239799999 29.77870087100005, -95.34865999999992 29.778517000000075, -95.34863917699992 29.77818234200002, -95.34863199999995 29.778067000000085, -95.34857399999999 29.777780000000064, -95.34851628299998 29.777611440000044, -95.34850697199994 29.777584247000046, -95.34848599999997 29.777523000000034, -95.34843241999994 29.777417032000066, -95.34835099999998 29.777256000000065, -95.34819199999997 29.777020000000046, -95.34807949099996 29.776890713000036, -95.34785000099997 29.776627000000076, -95.34779084099993 29.77656402000001, -95.34778400399996 29.77655674300006, -95.34749993999998 29.776254339000033, -95.34731712899998 29.776059726000028)"
6672,443550,369144,369195,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,,,,,,,,,HOUSTON,GLIDDEN,#N\A,,,,,,1,M,Main sub network,0.44918616,0.72289649,Active,Union Pacific,66,UP,F,"LINESTRING (-95.38675720299993 29.673718900000033, -95.38519916699993 29.674186493000025, -95.38205044299995 29.675131477000033, -95.38180182799992 29.67520609000007, -95.38158073399994 29.675272444000026, -95.38130184399994 29.675356144000027, -95.38081139099995 29.67550333700007, -95.37969464899997 29.675838490000064)"
6673,443551,370163,370210,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,KCS,,,,,,,,,GLIDDEN,,,,,,,1,M,Main sub network,0.18297323,0.29446745,Active,Union Pacific,66,UP,F,"LINESTRING (-95.28890399999995 29.717548378000053, -95.28634512899997 29.718986436000016)"
6682,443841,369488,369491,48,TX,201,48201,TX,5,District: 5,UP,,,BNSF,KCS,,,,,,,,HOUSTON,HOUSTON WEST BELT,#N\A,,,,S,STRACNET designated line,2,M,Main sub network,0.14694144,0.23647979,Active,Union Pacific,66,UP,F,"LINESTRING (-95.34481266899996 29.771453927000046, -95.34473579399997 29.770854054000047, -95.34471546799993 29.770509489000062, -95.34470599999997 29.77034899900007, -95.34469749199998 29.769990772000032, -95.34469321199998 29.76981063600005, -95.34469012499994 29.769680710000042, -95.34468776499993 29.76958129100007, -95.34468168199997 29.76932519400003)"
